Rank,country,Capital,Continent,Area (km²),1950,1955,1960,1965,1970 Population,1975,1980 Population,1985,1990 Population,1995,2000 Population,2005,2010 Population,2015 Population,2020 Population,2023,World Population Percentage
36,Afghanistan,Kabul,Asia,652230,7480461,7971931,8622466,9565147,10752971,12157386,12486631,10512221,10694796,16418912,19542982,24411191,28189672,33753499,38972230,42239854,0.52
138,Albania,Tirana,Europe,28748,1252582,1453730,1711189,2009789,2324731,2650122,2941651,3171725,3295066,3284364,3182021,3032634,2913399,2882481,2866849,2832439,0.04
34,Algeria,Algiers,Africa,2381741,9019866,10242288,11394307,12381256,13795915,15724692,18739378,22132905,25518074,28478022,30774621,32956690,35856344,39543154,43451666,45606480,0.56
213,American Samoa,Pago Pago,Oceania,199,19032,19826,20085,23391,27075,29573,32886,39663,47818,53401,58230,57254,54849,51368,46189,43914,0.0
203,Andorra,Andorra la Vella,Europe,468,6005,6116,9443,13563,19860,27640,35611,43809,53569,62928,66097,79826,71519,71746,77700,80088,0.0
42,Angola,Luanda,Africa,1246700,4478184,4938118,5357195,5736582,6029700,7032713,8330047,9970621,11828638,13912253,16394062,19450959,23364185,28127721,33428485,36684202,0.45
224,Anguilla,The Valley,North America,91,5017,5752,5752,6018,6283,6463,6560,6907,8316,9601,11047,12128,13172,14525,15585,15899,0.0
201,Antigua and Barbuda,Saint John’s,North America,442,45435,50264,55342,59644,64516,64035,64888,65048,63328,68398,75055,79869,85695,89941,92664,94298,0.0
33,Argentina,Buenos Aires,South America,2780400,17017742,18700686,20349744,22053661,23842803,25875558,28024803,30287112,32637657,34946110,37070774,39070501,41100123,43257065,45036032,45773884,0.57
140,Armenia,Yerevan,Asia,29743,1385041,1604376,1904148,2234051,2534377,2830798,3135123,3300896,3556539,3322782,3168523,3047246,2946293,2878595,2805608,2777970,0.03
198,Aruba,Oranjestad,North America,180,38797,46464,54608,58782,59106,60715,62267,64478,65712,77050,89101,94483,100341,104257,106585,106277,0.0
55,Australia,Canberra,Oceania,7692024,8177167,9209844,10286647,11359442,12595034,13886854,14706322,15785682,17048003,18002999,19017963,20171731,22019168,23820236,25670051,26439111,0.33
99,Austria,Vienna,Europe,83871,6936440,6946260,7046553,7269888,7465301,7576926,7547561,7562114,7678729,7947296,8010428,8227034,8362829,8642421,8907777,8958960,0.11
91,Azerbaijan,Baku,Asia,86600,3158966,3550017,4131484,4837811,5425317,5925012,6383060,6891140,7427836,7889330,8190337,8656237,9237202,9863480,10284951,10412651,0.13
176,Bahamas,Nassau,North America,13943,81644,92444,114500,144849,179129,201881,223752,245935,270679,299554,325014,347804,373272,392697,406471,412623,0.01
154,Bahrain,Manama,Asia,765,117149,134865,160691,193012,222555,285116,362595,434375,517418,612934,711442,901921,1213645,1362142,1477469,1485509,0.02
8,Bangladesh,Dhaka,Asia,147570,39728535,44315548,50396429,58500159,67541860,74700345,83929765,95959099,107147651,117793338,129193327,140912590,148391139,157830000,167420951,172954319,2.15
186,Barbados,Bridgetown,North America,430,210548,227320,232550,237694,241397,247090,253575,257911,258868,262303,264657,269477,274711,278083,280693,281995,0.0
96,Belarus,Minsk,Europe,207600,7906860,7976356,8389183,8854528,9170786,9500738,9817257,10133211,10428525,10461696,10256483,9935163,9731427,9700609,9633740,9498238,0.12
81,Belgium,Brussels,Europe,30528,8617344,8834526,9108724,9412087,9629376,9763430,9828986,9880534,9959560,10095198,10264343,10516978,10877947,11248303,11561717,11686140,0.15
177,Belize,Belmopan,North America,22966,69116,79986,91403,104838,120905,130801,145133,163436,182589,203556,240406,280375,322106,359871,394921,410825,0.01
77,Benin,Porto-Novo,Africa,112622,2264452,2360081,2512284,2735843,3023443,3378703,3833939,4419552,5133419,6046511,6998023,8149419,9445710,10932783,12643123,13712828,0.17
206,Bermuda,Hamilton,North America,54,37142,39136,42026,47074,52019,53256,53565,55611,57470,59465,61371,62959,63447,63144,64031,64069,0.0
165,Bhutan,Thimphu,Asia,38394,176367,196014,221266,255010,298894,352269,415257,484528,558442,527536,587207,663323,705516,743274,772506,787424,0.01
80,Bolivia,Sucre,South America,1098581,3089843,3357923,3707515,4115511,4585693,5127776,5736088,6385630,7096194,7841471,8592656,9377388,10223270,11090085,11936162,12388571,0.15
137,Bosnia and Herzegovina,Sarajevo,Europe,51209,2692907,2958430,3262539,3565517,3815561,4022090,4199820,4383306,4494310,3750527,4179350,4094297,3811088,3524324,3318407,3210847,0.04
144,Botswana,Gaborone,Africa,582000,413481,461880,512865,570975,592244,727930,938578,1138704,1341474,1543634,1726985,1892807,2091664,2305171,2546402,2675352,0.03
7,Brazil,Brasilia,South America,8515767,37189369,40839223,44928342,49925799,96369875,62851312,122288383,83585251,150706446,108187610,175873720,140490722,196353492,205188205,213196304,223804632,2.7
221,British Virgin Islands,Road Town,North America,151,7358,7516,7850,8018,9581,10282,11109,13202,15617,17674,20104,23497,27556,29366,30910,31538,0.0
175,Brunei,Bandar Seri Begawan,Asia,5765,48269,64267,85346,107686,133343,159653,187921,222119,261928,299097,333926,366717,396053,421437,441725,452524,0.01
108,Bulgaria,Sofia,Europe,110879,7157632,7517922,7891756,8245072,8582950,8860971,8980606,8917076,8767778,8477579,8097691,7815221,7592273,7309253,6979175,6687717,0.09
58,Burkina Faso,Ouagadougou,Africa,272967,4213757,4472824,4783259,5157929,5611666,6138444,6932967,7979185,9131361,10353263,11882888,13876127,16116845,18718019,21522626,23251485,0.28
78,Burundi,Bujumbura,Africa,27834,2254113,2495193,2746628,3118134,3497834,3749232,4312834,4948024,5483793,5932783,6307659,7388874,9126605,10727148,12220227,13238559,0.16
73,Cambodia,Phnom Penh,Asia,181035,4380380,4931224,5541676,6170727,6708525,6727922,6198959,7376090,8910808,10919528,12118841,13246583,14363532,15417523,16396860,16944826,0.21
53,Cameroon,Yaounde,Africa,475442,4315816,4670538,5117608,5690086,6452787,7397417,8519891,9804254,11430520,13211647,15091594,17275171,19878036,23012646,26491087,28647293,0.35
39,Canada,Ottawa,North America,9984670,13743069,15733923,17909356,19688805,21434577,23136252,24511510,25843922,27657204,29289423,30683313,32215916,33963412,35732126,37888705,38781291,0.48
171,Cape Verde,Praia,Africa,4033,184999,195389,209849,244156,287262,304375,317234,339874,364563,411382,458251,492827,521212,552166,582640,598682,0.01
205,Cayman Islands,George Town,North America,264,6912,8129,8473,9366,10533,13791,17100,21313,26027,32802,39658,46727,54074,60911,67311,69310,0.0
117,Central African Republic,Bangui,Africa,622984,1436591,1545898,1679728,1849171,2067356,2283927,2415276,2553075,2809221,3276706,3759170,4208834,4660067,4819333,5343020,5742315,0.07
69,Chad,N'Djamena,Africa,1284000,2512688,2756169,3028688,3336338,3667394,4084110,4408230,4967590,5827069,6888856,8259137,10005012,11894727,14140274,16644701,18278568,0.22
65,Chile,Santiago,South America,756102,6623645,7323194,8141820,8994936,9820481,10639531,11469828,12326396,13342868,14416796,15351799,16175311,17004162,17870124,19300315,19629590,0.25
1,China,Beijing,Asia,9706961,543979233,603320147,654170692,723846349,822534450,915124661,982372466,1060239979,1153704252,1218144426,1264099069,1304887562,1348191368,1393715448,1424929781,1425671352,17.88
28,Colombia,Bogota,South America,1141748,11769748,13512612,15687688,18275814,20905254,23403731,26176195,29326260,32601393,35970101,39215135,42220940,44816108,47119728,50930662,52085168,0.65
163,Comoros,Moroni,Africa,1862,161814,177885,194852,214939,242351,280036,328328,375650,431119,483760,536758,592683,656024,730216,806166,852075,0.01
223,Cook Islands,Avarua,Oceania,236,14683,16129,17631,18767,20470,18863,17651,16657,17123,17735,15897,15146,17212,17695,17029,17044,0.0
124,Costa Rica,San José,North America,51100,948487,1123982,1346302,1602736,1855697,2111850,2414303,2771463,3158253,3572856,3979193,4315887,4622252,4895242,5123105,5212173,0.06
130,Croatia,Zagreb,Europe,56594,3864691,4049659,4215324,4371381,4492638,4579428,4680144,4803325,4873707,4807100,4548434,4429681,4368682,4254815,4096868,4008617,0.05
85,Cuba,Havana,North America,109884,5926645,6559586,7267395,8067651,8869636,9514305,9809107,10149044,10626680,10926703,11105791,11246114,11290417,11339894,11300698,11194449,0.14
158,Cyprus,Nicosia,Europe,9251,493956,534125,585725,617345,640804,644982,679327,731664,788500,862418,948237,1037062,1129686,1187280,1237537,1260138,0.02
115,Denmark,Copenhagen,Europe,43094,4267694,4426508,4581727,4756337,4922963,5058203,5125392,5119452,5144623,5235197,5340655,5436313,5550849,5677796,5825641,5910913,0.07
160,Djibouti,Djibouti,Africa,23200,62334,72997,85940,108772,144379,208582,324121,400709,577173,629619,742033,830861,919199,1006259,1090156,1136455,0.01
204,Dominica,Roseau,North America,751,50188,51895,59379,63744,68895,71300,72978,71596,69481,69201,68346,68674,68755,70007,71995,73040,0.0
84,Dominican Republic,Santo Domingo,North America,48671,2381740,2791108,3298021,3868712,4475871,5106453,5755800,6417798,7129004,7869753,8540791,9164768,9775755,10405832,10999664,11332972,0.14
67,Ecuador,Quito,South America,276841,3518733,4022378,4618158,5337351,6172215,7105786,8135845,9254311,10449837,11561683,12626507,13770012,14989585,16195902,17588595,18190484,0.23
14,Egypt,Cairo,Africa,1002450,21150058,23841701,27034499,30818469,34781986,38775584,43748556,50035843,57214630,64166908,71371371,79075310,87252413,97723799,107465134,112716598,1.39
112,El Salvador,San Salvador,North America,21041,2182409,2448633,2779327,3179506,3619090,4076751,4508992,4876757,5367179,5748195,5958482,6037817,6114034,6231066,6292731,6364943,0.08
152,Equatorial Guinea,Malabo,Africa,28051,226381,245800,267351,295010,316955,283262,282509,378379,465549,560740,684977,864726,1094524,1346973,1596049,1714671,0.02
132,Eritrea,Asmara,Africa,117600,822576,895009,993568,1121739,1272748,1450867,1657982,1899243,2149960,2157220,2392880,2831732,3147727,3340006,3555868,3748901,0.05
156,Estonia,Tallinn,Europe,45227,1102078,1168276,1218064,1292004,1361999,1424044,1476983,1525782,1570674,1452775,1396877,1354662,1331535,1314657,1329444,1322765,0.02
159,Eswatini,Mbabane,Africa,17364,271642,307078,345065,388317,442865,509535,598564,702400,854011,953573,1030496,1071886,1099920,1133936,1180655,1210822,0.02
12,Ethiopia,Addis Ababa,Africa,1104300,17709951,19703738,21739710,24727506,28308246,32252783,34945469,40285965,47878073,57476536,67031867,77469940,89237791,102471895,117190911,126527060,1.55
231,Falkland Islands,Stanley,South America,12173,2191,2187,2265,2308,2274,2280,2240,2232,2332,2735,3080,3204,3187,3408,3747,3791,0.0
209,Faroe Islands,Tórshavn,Europe,1393,31655,32127,34154,36346,38416,40626,43054,45575,47479,43805,45660,48291,48410,48816,52415,53270,0.0
162,Fiji,Suva,Oceania,18272,308308,343693,401841,469010,527634,575804,644582,727461,780430,792246,832509,874923,905169,917200,920422,936375,0.01
118,Finland,Helsinki,Europe,338424,4008289,4235413,4430173,4564583,4606621,4711368,4779418,4902175,4986545,5107943,5176209,5246071,5363271,5479461,5529468,5545475,0.07
23,France,Paris,Europe,551695,41842355,43593851,45659575,48168804,50523586,52450030,53713830,55108106,56412897,57420354,58665453,60510079,62444567,63809769,64480053,64756584,0.81
184,French Guiana,Cayenne,South America,83534,23398,25456,31125,38946,46484,54347,66825,86931,113931,137183,164351,201259,228453,257026,290969,312155,0.0
183,French Polynesia,Papeete,Oceania,4167,64535,74475,84851,98674,117891,139833,163591,187578,211089,231446,250927,271060,283788,291787,301920,308872,0.0
146,Gabon,Libreville,Africa,267668,472905,489459,513340,547535,597192,663340,749078,856482,983028,1121964,1272935,1458353,1711105,2028517,2292573,2436566,0.03
142,Gambia,Banjul,Africa,10689,306781,349374,399649,458908,528731,612909,718586,855958,1040616,1242155,1437539,1660368,1937275,2253133,2573995,2773168,0.03
131,Georgia,Tbilisi,Asia,69700,3517264,3738231,4051492,4418592,4800426,4970320,5145843,5338867,5391636,4877676,4265172,3961182,3836831,3771132,3765912,3728282,0.05
19,Germany,Berlin,Europe,357114,70964095,71222628,73063695,76037469,78294583,78513511,77786703,77638808,79370196,81123262,81551677,81212168,81325090,82073226,83328988,83294633,1.05
47,Ghana,Accra,Africa,238533,5077596,5887163,6911510,7827726,8861895,10209848,11865246,13651443,15446982,17438874,19665502,22496951,25574719,28870939,32180401,34121985,0.42
219,Gibraltar,Gibraltar,Europe,6,21402,21541,21822,23910,26685,27973,28734,28674,27317,27412,27741,29155,31262,32520,32709,32688,0.0
90,Greece,Athens,Europe,131990,7669099,8146022,8495415,8526254,8544873,8805415,9307148,9840141,10302255,10727927,11038109,11113448,11033783,10806641,10512232,10341277,0.13
208,Greenland,Nuuk,North America,2166086,23119,26295,32124,38539,45434,49151,50106,53220,55599,55788,56184,56887,56351,55895,56026,56643,0.0
193,Grenada,Saint George's,North America,344,77020,82656,93772,98226,98794,97165,94838,100576,99047,104060,107432,110254,114039,118980,123663,126183,0.0
